job_title,company_name,location,salary,avg_salary
Data Scientist,Kaiser Permanente,"Pasadena, CA 91101",,0.0
Data Scientist I,Jet Propulsion Laboratory,"Pasadena, CA",,0.0
"Data Science Intern Burbank, CA Summer 2019",Direct-to-Consumer and International,"Burbank, CA",,0.0
Research Analyst,DISNEY,"Glendale, CA 91201",,0.0
"Data Engineering Intern Burbank, CA Summer 2019",Direct-to-Consumer and International,"Burbank, CA",,0.0
CREDIT RESEARCH ANALYST (ENTRY-LEVEL),"Tortoise Investments, LLC","Los Angeles, CA",,0.0
"Data Visualization Creator, Finance Analytics",Netflix,"Los Angeles, CA",,0.0
"Intern, Data Analysis",Arconic,"Torrance, CA",,0.0
Data Scientist,Snap Inc.,"Los Angeles, CA",,0.0
Data Science Intern at Travel Startup,Travoom,"Santa Monica, CA 90401",,0.0
"Data Engineering Intern Burbank, CA Summer 2019",Direct-to-Consumer and International,"Burbank, CA",,0.0
Research Scientist,The Trevor Project,"Los Angeles, CA",,0.0
Scientist I,"Eurofins Eaton Analytical, Inc.","Monrovia, CA",,0.0
Data Scientist,Modcloth,"Los Angeles, CA 90021",,0.0
"Data Scientist, Machine Learning",Zest Finance,"Los Angeles, CA",,0.0
Data Scientist,Snap Inc.,"Los Angeles, CA",,0.0
Data Scientist,Fair,"Santa Monica, CA",,0.0
CREDIT RESEARCH ANALYST (ENTRY-LEVEL),"Tortoise Investments, LLC","Los Angeles, CA",,0.0
"Data Visualization Creator, Finance Analytics",Netflix,"Los Angeles, CA",,0.0
Senior- Data Analysis,AT&T,"El Segundo, CA 90245",,0.0
Lab I Assoc,Quest Diagnostics,"West Hills, CA 91307",,0.0
Laboratory Scientist,Shire Pharmaceuticals,"Los Angeles, CA 90079",,0.0
Data Scientist,Dollar Shave Club,"Marina del Rey, CA 90292","$101,000 - $148,000 a year (Indeed est.)",124500.0
Staff Data Scientist,Areté Associates,"Northridge, CA","$95,000 - $140,000 a year (Indeed est.)",117500.0
Scientist I - GCMS,"Eurofins Eaton Analytical, Inc.","Monrovia, CA",,0.0
NLP Data Scientist,Albert,"Los Angeles, CA","$113,000 - $166,000 a year (Indeed est.)",139500.0
Sr. Data Scientist,Taboola,"Los Angeles, CA",,0.0
Data Scientist - Healthcare,Beyond Limits,"Glendale, CA","$116,000 - $171,000 a year (Indeed est.)",143500.0
Human Factors Scientist,Exponent,"Los Angeles, CA 90066",,0.0
Data Scientist,Hearts and Science,"Burbank, CA","$86,000 - $127,000 a year (Indeed est.)",106500.0
Pr. Data Scientist,Medtronic,"Northridge, CA",,0.0
Senior Data Scientist,Fair,"Santa Monica, CA",,0.0
Associate Research Scientist - Health Policy,Precision Health Economics,"Los Angeles, CA",,0.0
Laboratory Scientist,Takeda Pharmaceutical,"Los Angeles, CA",,0.0
Researcher,Riot Games,"Los Angeles, CA 90064",,0.0
Data Scientist,L.A. Care Health Plan,"Los Angeles, CA 90017",,0.0
Data Science Intern at Travel Startup,Travoom,"Santa Monica, CA 90401",,0.0
Marketing Scientist,VideoAmp,"Santa Monica, CA",,0.0
Senior Data Scientist,FabFitFun,"Los Angeles, CA 90048",,0.0
Engineer/Scientist Aide,Areté Associates,"Northridge, CA",,0.0
part time data science instructor,The Adecco Group,"Los Angeles, CA",,0.0
Data Scientist,Fair,"Santa Monica, CA",,0.0
NLP Data Scientist,Albert,"Los Angeles, CA",,0.0
